"Qty","Stock","Description","Reference","Manufacturer","Part Number","Cost Each","Cost per ASM"," ","Footprint"
"1","0","Antenna","AE1, ","Ignion","NN-02-224","0","=A2*G2"," ","MyFootprints:Antenna_Ignion_RunmXtend_NN02-224"
"1","0","0.7pF","C1, ","Murata","GJM0335C1ER70WB01D","0","=A3*G3"," ","Capacitor_SMD:C_0603_1608Metric"
"1","0","0.6pF","C2, ","Murata","GRM0335C1HR60BA01D","0","=A4*G4"," ","Capacitor_SMD:C_0603_1608Metric"
"1","0","1.5pF","C3, ","Kemet","CBR06C159B5GAC","0","=A5*G5"," ","Capacitor_SMD:C_0603_1608Metric"
"1","0","u.FL","J1, ","Molex","0734120110","0","=A6*G6"," ","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical"
"1","0","19nH","L1, ","Murata","LQW18AN19NJ80D","0","=A7*G7"," ","Inductor_SMD:L_0603_1608Metric"
"1","0","4nH","L2, ","TDK","MHQ0402PSA4N0BT000","0","=A8*G8"," ","Inductor_SMD:L_0402_1005Metric"
"1","0","12nH","L3, ","Murata","LQW18AN12NG10D","0","=A9*G9"," ","Inductor_SMD:L_0603_1608Metric"
"1","0","4.7nH or 4.5nH","L4, ","Murata","lqw15an4n5b00d","0","=A10*G10"," ","Inductor_SMD:L_0402_1005Metric"
" "," "," "," "," "," "
