Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Chip","XCVR_NN02-232",17.700000,11.800000,180.000000,top
"C4","47pF/50V","C_0603_1608Metric",-2.120000,-22.430000,-135.000000,top
"C5",".1uF/16V","C_0603_1608Metric",-4.520000,-20.000000,-135.000000,top
"C6",".9pF","C_0402_1005Metric",27.520000,22.925000,90.000000,top
"C7","3.6pF","C_0402_1005Metric",27.530000,24.950000,90.000000,top
"D4","D_TVS","D_0603_1608Metric",-3.310000,-21.210000,-135.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Dia_1.5mm_Outer",-23.500000,13.500000,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Dia_1.5mm_Outer",21.500000,29.500000,0.000000,top
"FID3","Fiducial","Fiducial_0.75mm_Dia_1.5mm_Outer",21.500000,-37.000000,0.000000,top
"J1","Conn_Coaxial","U.FL_Molex_MCRF_73412-0110_Vertical",25.900000,28.500000,0.000000,top
"J2","SIM","SIMHolder_Amph7111S2015X02LF",-20.250000,-2.250000,180.000000,top
"J7","Micro_SD_Card_Det","MicroSDSocket_GCT_MEM2061-01-188-00-A",-23.400000,23.250000,-90.000000,top
"L2","15nH","L_0603_1608Metric",25.250000,22.200000,180.000000,top
"L3","9.5nH","L_0603_1608Metric",25.260000,23.900000,180.000000,top
"L4","7.5nH","L_0603_1608Metric",27.580000,20.340000,90.000000,top
"LOGO2","Logo2","SkysEdge_18mm",3.300000,28.600000,0.000000,top
"MH3","MountingHole","MountingHole_2mm",4.000000,-28.000000,0.000000,top
"R32","100k","R_0603_1608Metric",-13.385000,29.000000,180.000000,top
"R33","100k","R_0603_1608Metric",-13.300000,20.300000,180.000000,top
