Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47pF/50V","C_0603_1608Metric",25.200000,3.800000,180.000000,bottom
"C2","47pF/50V","C_0603_1608Metric",24.975000,-14.350000,180.000000,bottom
"C3","47pF/50V","C_0603_1608Metric",24.910000,-6.850000,180.000000,bottom
"C44",".1uF/16V","C_0603_1608Metric",-27.150000,-24.500000,180.000000,bottom
"C45",".1uF/16V","C_0603_1608Metric",-22.700000,-24.550000,0.000000,bottom
"D1","D_TVS","D_0603_1608Metric",25.100000,5.700000,180.000000,bottom
"D2","D_TVS","D_0603_1608Metric",24.985000,-12.725000,180.000000,bottom
"D3","D_TVS","D_0603_1608Metric",24.900000,-8.475000,180.000000,bottom
"D6","1N4148","D_SOD-123",25.000000,0.200000,-90.000000,bottom
"D7","1N4148","D_SOD-123",8.300000,-8.800000,90.000000,bottom
"FID4","Fiducial","Fiducial_0.75mm_Dia_1.5mm_Outer",23.500000,13.500000,0.000000,bottom
"FID5","Fiducial","Fiducial_0.75mm_Dia_1.5mm_Outer",-21.500000,29.500000,0.000000,bottom
"FID6","Fiducial","Fiducial_0.75mm_Dia_1.5mm_Outer",-21.500000,-37.000000,0.000000,bottom
"J3","Conn_01x12","Samtec_2x6HeaderSocket_FLE-106-01-G-DV",-13.200000,-27.500000,0.000000,bottom
"J6","Conn_01x12","Samtec_2x6HeaderSocket_FLE-106-01-G-DV",-13.200000,-35.200000,0.000000,bottom
"K1","EE2-3TNU ","Relay_Kemet_EE2-3TNU",19.870000,-7.530000,90.000000,bottom
"LOGO1","Logo1","SkysEdge_18mm",-3.300000,26.600000,0.000000,bottom
"R31","100k","R_0603_1608Metric",-19.150000,-20.850000,90.000000,bottom
"R34","10k","R_0603_1608Metric",-22.400000,-12.850000,180.000000,bottom
"U11","TXB0104D","SOIC-14_3.9x8.7mm_P1.27mm",-24.850000,-18.600000,0.000000,bottom
