,,,,,,ON HAND,ON ORDER
    AE1,Antenna_Chip,MyFootprints:XCVR_NN02-232,Ignion,NN02-232,1,503,
>  C1-C4,47pF/50V,Resistor_SMD:R_0402_1005Metric,Murata,GRM1555C1H470JA01D,4,10,
">  C5, C44, C45",.1uF/16V,Capacitor_SMD:C_0402_1005Metric,Kemet,C0402C104K4RACTU,3,7,
    C6,2.7pF,Capacitor_SMD:C_0402_1005Metric,Murata,GRM1555C1H2R7CA01D,1,8,
    C7,.5pF,Capacitor_SMD:C_0402_1005Metric,Murata,GJM1555C1HR50BB01D,1,7,
>  D1-D4,D_TVS,Resistor_SMD:R_0402_1005Metric,Littelfuse,PESD0402-140,4,3,
">  D6, D7",1N4148,Diode_SMD:D_SOD-123,Diodes Incorporated, 1N4148W-13-F,2,6,
    J1,Conn_Coaxial,Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical,Molex,734120110,1,4,
    J2,SIM,MyFootprints:SIMHolder_Amph7111S2015X02LF,JAE,SF7W006S1AR1000,1,,2
">  J3, J6",Conn_01x12,MyFootprints:Samtec_2x6HeaderSocket_FLE-106-01-G-DV,Samtec,FLE-106-01-G-DV,2,2,
    J7,Micro_SD_Card_Det,digikey-footprints:MicroSDSocket_GCT_MEM2061-01-188-00-A,GCT,MEM2061-01-188-00-A,1,1,
    K1,EE2-3TNU ,MyFootprints:Relay_Kemet_EE2-3TNU,Kemet,EE2-3TNU ,1,3,
>  L2-L4,7.5nH,Inductor_SMD:L_0402_1005Metric,TE,36501E7N5JTDG,3,5,
>  R31-R33,100k,Resistor_SMD:R_0402_1005Metric,Yageo,RC0402FR-07100KL,3,14,
    R34,10k,Resistor_SMD:R_0402_1005Metric,TE,CRGCQ0402J10K,1,17,
    R1,2k,Resistor_SMD:R_0402_1005Metric,Yageo,RC0402JR-072KL,1,,
    U11,TXB0104D,Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,TI,TXB0104D,1,1,
